date,amount
'01/01/2010',96
'01/02/2010',96
'01/03/2010',51
'01/04/2010',73
'01/05/2010',88
'01/06/2010',96
'01/07/2010',111
'01/08/2010',117
'01/09/2010',130
'01/10/2010',86
'01/11/2010',85
'01/12/2010',65
'01/13/2010',112
'01/14/2010',84
'01/15/2010',136
'01/16/2010',174
'01/17/2010',149
'01/18/2010',117
'01/19/2010',92
'01/20/2010',134
'01/21/2010',129
'01/22/2010',178
'01/23/2010',170
'01/24/2010',138
'01/25/2010',114
'01/26/2010',136
'01/27/2010',127
'01/28/2010',109
'01/29/2010',106
'01/30/2010',172
'01/31/2010',137
'02/01/2010',103
'02/02/2010',110
'02/03/2010',104
'02/04/2010',134
'02/05/2010',157
'02/06/2010',136
'02/07/2010',125
'02/08/2010',98
'02/09/2010',96
'02/10/2010',52
'02/11/2010',56
'02/12/2010',110
'02/13/2010',124
'02/14/2010',122
'02/15/2010',130
'02/16/2010',99
'02/17/2010',122
'02/18/2010',107
'02/19/2010',147
'02/20/2010',210
'02/21/2010',171
'02/22/2010',84
'02/23/2010',90
'02/24/2010',97
'02/25/2010',98
'02/26/2010',57
'02/27/2010',148
'02/28/2010',169
'03/01/2010',82
'03/02/2010',114
'03/03/2010',90
'03/04/2010',127
'03/05/2010',123
'03/06/2010',245
'03/07/2010',180
'03/08/2010',116
'03/09/2010',143
'03/10/2010',152
'03/11/2010',143
'03/12/2010',127
'03/13/2010',91
'03/14/2010',73
'03/15/2010',111
'03/16/2010',152
'03/17/2010',196
'03/18/2010',224
'03/19/2010',277
'03/20/2010',384
'03/21/2010',272
'03/22/2010',149
'03/23/2010',119
'03/24/2010',131
'03/25/2010',185
'03/26/2010',121
'03/27/2010',207
'03/28/2010',130
'03/29/2010',76
'03/30/2010',80
'03/31/2010',167
'04/01/2010',170
'04/02/2010',255
'04/03/2010',245
'04/04/2010',294
'04/05/2010',243
'04/06/2010',266
'04/07/2010',260
'04/08/2010',295
'04/09/2010',171
'04/10/2010',268
'04/11/2010',325
'04/12/2010',208
'04/13/2010',140
'04/14/2010',214
'04/15/2010',236
'04/16/2010',158
'04/17/2010',217
'04/18/2010',234
'04/19/2010',178
'04/20/2010',147
'04/21/2010',199
'04/22/2010',216
'04/23/2010',284
'04/24/2010',362
'04/25/2010',160
'04/26/2010',124
'04/27/2010',145
'04/28/2010',139
'04/29/2010',227
'04/30/2010',351
'05/01/2010',406
'05/02/2010',379
'05/03/2010',198
'05/04/2010',305
'05/05/2010',309
'05/06/2010',332
'05/07/2010',255
'05/08/2010',274
'05/09/2010',154
'05/10/2010',186
'05/11/2010',208
'05/12/2010',137
'05/13/2010',207
'05/14/2010',256
'05/15/2010',365
'05/16/2010',363
'05/17/2010',301
'05/18/2010',155
'05/19/2010',207
'05/20/2010',339
'05/21/2010',323
'05/22/2010',475
'05/23/2010',374
'05/24/2010',265
'05/25/2010',302
'05/26/2010',298
'05/27/2010',226
'05/28/2010',306
'05/29/2010',400
'05/30/2010',372
'05/31/2010',421
'06/01/2010',195
'06/02/2010',185
'06/03/2010',184
'06/04/2010',254
'06/05/2010',325
'06/06/2010',272
'06/07/2010',246
'06/08/2010',279
'06/09/2010',154
'06/10/2010',264
'06/11/2010',278
'06/12/2010',436
'06/13/2010',364
'06/14/2010',223
'06/15/2010',326
'06/16/2010',256
'06/17/2010',237
'06/18/2010',319
'06/19/2010',435
'06/20/2010',295
'06/21/2010',322
'06/22/2010',207
'06/23/2010',177
'06/24/2010',179
'06/25/2010',246
'06/26/2010',342
'06/27/2010',211
'06/28/2010',135
'06/29/2010',133
'06/30/2010',224
'07/01/2010',237
'07/02/2010',240
'07/03/2010',304
'07/04/2010',182
'07/05/2010',156
'07/06/2010',125
'07/07/2010',112
'07/08/2010',176
'07/09/2010',204
'07/10/2010',308
'07/11/2010',243
'07/12/2010',183
'07/13/2010',167
'07/14/2010',169
'07/15/2010',235
'07/16/2010',203
'07/17/2010',333
'07/18/2010',203
'07/19/2010',152
'07/20/2010',192
'07/21/2010',149
'07/22/2010',176
'07/23/2010',169
'07/24/2010',246
'07/25/2010',206
'07/26/2010',176
'07/27/2010',225
'07/28/2010',227
'07/29/2010',199
'07/30/2010',241
'07/31/2010',313
'08/01/2010',253
'08/02/2010',215
'08/03/2010',260
'08/04/2010',209
'08/05/2010',186
'08/06/2010',220
'08/07/2010',379
'08/08/2010',301
'08/09/2010',214
'08/10/2010',178
'08/11/2010',192
'08/12/2010',179
'08/13/2010',288
'08/14/2010',436
'08/15/2010',228
'08/16/2010',152
'08/17/2010',196
'08/18/2010',168
'08/19/2010',239
'08/20/2010',235
'08/21/2010',440
'08/22/2010',187
'08/23/2010',145
'08/24/2010',225
